Combat Dagger Rogue Phase 3
,,Item,,,EPV,Location,Phase,,,Stats
,,Head,,,,,,,,,ap,agi,hit,crit,haste,arp,exp,socket
,1,#REF!,#REF!
,2,0
,3,0
,4,0
,5,0
,6,0
,7,0
,8,0
,9,0
,10,0
,11,0
,12,0
,13,0
,14,0
,15,0
,,Neck,,,,,,,,,ap,agi,hit,crit,haste,arp,exp,socket
,1,#REF!,#REF!
,2,0
,3,0
,4,0
,5,0
,6,0
,7,0
,8,0
,9,0
,10,0
,11,0
,12,0
,13,0
,14,0
,15,0
,,Shoulders,,,,,,,,,ap,agi,hit,crit,haste,arp,exp,socket
,1,#REF!,#REF!
,2,0
,3,0
,4,0
,5,0
,6,0
,7,0
,8,0
,9,0
,10,0
,11,0
,12,0
,13,0
,14,0
,15,0
,,Back,,,,,,,,,ap,agi,hit,crit,haste,arp,exp,socket
,1,#REF!,#REF!
,2,0
,3,0
,4,0
,5,0
,6,0
,7,0
,8,0
,9,0
,10,0
,11,0
,12,0
,13,0
,14,0
,15,0
,,Chest,,,,,,,,,ap,agi,hit,crit,haste,arp,exp,socket
,1,#REF!,#REF!
,2,0
,3,0
,4,0
,5,0
,6,0
,7,0
,8,0
,9,0
,10,0
,11,0
,12,0
,13,0
,14,0
,15,0
,,Wrist,,,,,,,,,ap,agi,hit,crit,haste,arp,exp,socket
,1,#REF!,#REF!
,2,0
,3,0
,4,0
,5,0
,6,0
,7,0
,8,0
,9,0
,10,0
,11,0
,12,0
,13,0
,14,0
,15,0
,,Hands,,,,,,,,,ap,agi,hit,crit,haste,arp,exp,socket
,1,#REF!,#REF!
,2,0
,3,0
,4,0
,5,0
,6,0
,7,0
,8,0
,9,0
,10,0
,11,0
,12,0
,13,0
,14,0
,15,0
,,Waist,,,,,,,,,ap,agi,hit,crit,haste,arp,exp,socket
,1,#REF!,#REF!
,2,0
,3,0
,4,0
,5,0
,6,0
,7,0
,8,0
,9,0
,10,0
,11,0
,12,0
,13,0
,14,0
,15,0
,,Ring,,,,,,,,,ap,agi,hit,crit,haste,arp,exp,socket
,1,#REF!,#REF!
,2,0
,3,0
,4,0
,5,0
,6,0
,7,0
,8,0
,9,0
,10,0
,11,0
,12,0
,13,0
,14,0
,15,0
,,Legs,,,,,,,,,ap,agi,hit,crit,haste,arp,exp,socket
,1,#REF!,#REF!
,2,0
,3,0
,4,0
,5,0
,6,0
,7,0
,8,0
,9,0
,10,0
,11,0
,12,0
,13,0
,14,0
,15,0
,,Feet,,,,,,,,,ap,agi,hit,crit,haste,arp,exp,socket
,1,#REF!,#REF!
,2,0
,3,0
,4,0
,5,0
,6,0
,7,0
,8,0
,9,0
,10,0
,11,0
,12,0
,13,0
,14,0
,15,0
,,Trinket,,,,,,,,,ap,agi,hit,crit,haste,arp,exp,socket
,1,#REF!,#REF!
,2,0
,3,0
,4,0
,5,0
,6,0
,7,0
,8,0
,9,0
,10,0
,11,0
,12,0
,13,0
,14,0
,15,0
,,Ranged,,,,,,,,,ap,agi,hit,crit,haste,arp,exp,socket
,1,#REF!,#REF!
,2,0
,3,0
,4,0
,5,0
,6,0
,7,0
,8,0
,9,0
,10,0
,11,0
,12,0
,13,0
,14,0
,15,0
,,One Hand,,,,,,,,,type,dps,speed,ap,agi,hit,crit,haste,arp,exp,socket
,1,#REF!,#REF!
,2,0
,3,0
,4,0
,5,0
,6,0
,7,0
,8,0
,9,0
,10,0
,11,0
,12,0
,13,0
,14,0
,15,0
,16,0
,17,0
,18,0
,19,0
,20,0
,21,0
,22,0
,23,0
,24,0
,25,0
,26,0
,27,0
,28,0
,29,0
,30,0
,31,0
,32,0
,33,0
,34,0
,35,0
,36,0
,37,0
,38,0
,39,0
,40,0
,41,0
,42,0
,43,0
,44,0
,45,0
